"round","run_position","mode","pattern","managed_percent","p50_ms","p95_ms","p99_ms","managed_usage_average","managed_usage_peak","late_residency","compulsory_misses","predictable_misses","bytes_evicted","reloads"
"1","21","auto","stream","85","0.7428","0.9425","1.1996","33984348","37748736","8","8","0","31457280","15"
,,,,,,,,,,,,,,
"1","22","auto","stream","75","0.75","0.9332","1.1469","29793539","33554432","11","11","0","41943040","20"
,,,,,,,,,,,,,,
"1","23","auto","stream","65","0.7441","0.8809","1.1248","25812445","29360128","12","12","0","48234496","23"
,,,,,,,,,,,,,,
"1","24","auto","stream","55","0.75","0.8729","1.16","21728242","25165824","14","14","0","56623104","27"
,,,,,,,,,,,,,,
"1","25","auto","stream","45","0.7444","0.8797","1.1347","17640543","20971520","16","16","0","65011712","31"
,,,,,,,,,,,,,,
"1","26","arc","stream","100","0.7509","0.8834","1.1154","0","0","0","0","0","85983232","41"
,,,,,,,,,,,,,,
"1","27","baseline","stream","100","0.7444","0.969","1.1702","0","0","0","0","0","0","0"
