elapsed_ms,frame,scene,event,ms
3409.3004,7,18,"Application Update",5.7325
3419.0225,7,18,"Application Render",9.7189
3419.5284,7,18,"Application Compose",0.4293
3440.9136,7,18,"SubmitCommandLists",21.3721
3440.975,7,18,"Shadowmap packing",0.00039999999
3440.9784,7,18,"Render",9.71819973
3440.9804,7,18,"Procedural Animations",0.0013
3440.9827,7,18,"Script Components",0.000199999995
3440.9852,7,18,"CPU Frame",16.2138004
3440.9872,7,18,"Input",0.156299993
3440.9894,7,18,"GUI Update",0.0423000008
3440.9912,7,18,"Frustum Culling",1.12629998
3440.9932,7,18,"Animations",0.000199999995
3440.995,7,18,"Spring Dependencies",0.000699999975
3440.997,7,18,"GUI Render",0.171599999
3440.9986,7,18,"Physics",0.00650000013
3441.0007,7,18,"Update",5.73210001
3441.0023,7,18,"Fixed Update",0.0162000004
3441.0041,7,18,"Spline Update",0.000199999995
3441.0058,7,18,"Compose",0.428499997
3441.0077,7,18,"Update Buffers (CPU)",0.159600005
3448.3905,8,18,"RenderPath3D Update",6.1402
3448.4169,8,18,"Application Update",7.2617
3463.166,8,18,"Application Render",14.746
3464.0107,8,18,"Application Compose",0.6516
3467.3849,8,18,"SubmitCommandLists",3.3298
3467.4573,8,18,"Shadowmap packing",0.000600000028
3467.4619,8,18,"Render",14.7448997
3467.4652,8,18,"Procedural Animations",0.00170000002
3467.468,8,18,"Script Components",0.000300000014
3467.4721,8,18,"CPU Frame",23.0884991
3467.4742,8,18,"Input",0.133900002
3467.478,8,18,"GUI Update",0.0494999997
3467.4806,8,18,"Frustum Culling",1.54270005
3467.4829,8,18,"Animations",0.000199999995
3467.4846,8,18,"Spring Dependencies",0.00039999999
3467.4871,8,18,"GUI Render",0.111199997
3467.4887,8,18,"Physics",0.00820000004
3467.4909,8,18,"Update",7.26109982
3467.4925,8,18,"Fixed Update",0.00630000001
3467.4945,8,18,"Spline Update",0.000500000024
3467.4966,8,18,"Compose",0.648299992
3467.4994,8,18,"Update Buffers (CPU)",0.154300004
3474.5129,9,18,"RenderPath3D Update",5.6348
3474.5431,9,18,"Application Update",6.6923
3486.1478,9,18,"Application Render",11.6016
3486.644,9,18,"Application Compose",0.4098
3487.7641,9,18,"SubmitCommandLists",1.1076
3487.7905,9,18,"Shadowmap packing",0.000500000024
3487.7934,9,18,"Render",11.6009998
3487.7953,9,18,"Procedural Animations",0.0013
3487.7974,9,18,"Script Components",0.000199999995
3487.7998,9,18,"CPU Frame",19.2366009
3487.8016,9,18,"Input",0.319499999
3487.8038,9,18,"GUI Update",0.0331000015
3487.8055,9,18,"Frustum Culling",1.23310006
3487.8074,9,18,"Animations",0.000199999995
3487.8091,9,18,"Spring Dependencies",0.000199999995
3487.8109,9,18,"GUI Render",0.0993999988
3487.8126,9,18,"Physics",0.00590000022
3487.8149,9,18,"Update",6.69199991
3487.8164,9,18,"Fixed Update",0.0174000002
3487.8182,9,18,"Spline Update",0.00039999999
3487.82,9,18,"Compose",0.409099996
3487.8219,9,18,"Update Buffers (CPU)",0.114
3494.1165,10,18,"RenderPath3D Update",5.291
3494.1443,10,18,"Application Update",6.1844
3503.778,10,18,"Application Render",9.6308
3504.2522,10,18,"Application Compose",0.403
3505.2665,10,18,"SubmitCommandLists",1.0008
3505.2912,10,18,"Shadowmap packing",9.99999975e-05
3505.2942,10,18,"Render",9.62989998
3505.2961,10,18,"Procedural Animations",0.0013
3505.3886,10,18,"Script Components",0.000199999995
3505.391,10,18,"CPU Frame",16.4843006
3505.3931,10,18,"Input",0.127599999
3505.3952,10,18,"GUI Update",0.0425999984
3505.3973,10,18,"Frustum Culling",1.21689999
3505.3992,10,18,"Animations",9.99999975e-05
3505.401,10,18,"Spring Dependencies",0.000600000028
3505.4031,10,18,"GUI Render",0.116400003
3505.4052,10,18,"Physics",0.00510000018
3505.4071,10,18,"Update",6.18400002
3505.4088,10,18,"Fixed Update",0.00490000006
