elapsed_ms,frame,scene,event,ms
712.9528,7,1,"Render",1.27470005
712.9576,7,1,"Procedural Animations",0.00270000007
712.962,7,1,"Script Components",0.000199999995
712.9676,7,1,"CPU Frame",3.21600008
712.9746,7,1,"Input",0.345299989
712.9786,7,1,"GUI Update",0.0653999969
712.9817,7,1,"Frustum Culling",0.0688999966
713.0225,7,1,"Animations",9.99999975e-05
713.03,7,1,"Spring Dependencies",0.00100000005
713.0347,7,1,"GUI Render",0.201399997
713.0377,7,1,"Physics",0.00200000009
713.0419,7,1,"Update",0.372299999
713.0453,7,1,"Fixed Update",9.99999975e-05
713.0488,7,1,"Spline Update",0.00159999996
713.052,7,1,"Compose",0.930899978
713.0561,7,1,"Update Buffers (CPU)",0.214200005
713.8109,8,1,"RenderPath3D Update",0.3469
713.8208,8,1,"Application Update",0.4308
714.9605,8,1,"Application Render",1.1346
715.7349,8,1,"Application Compose",0.6962
717.3754,8,1,"SubmitCommandLists",1.6101
717.4951,8,1,"Shadowmap packing",0.000300000014
717.5031,8,1,"Render",1.13429999
717.5078,8,1,"Procedural Animations",0.00230000005
717.513,8,1,"Script Components",0.000500000024
717.5205,8,1,"CPU Frame",2.85870004
717.5236,8,1,"Input",0.285899997
717.53,8,1,"GUI Update",0.0758000016
717.5347,8,1,"Frustum Culling",0.0728999972
717.5403,8,1,"Animations",9.99999975e-05
717.5476,8,1,"Spring Dependencies",0.00109999999
717.5545,8,1,"GUI Render",0.159999996
717.5576,8,1,"Physics",0.0144999996
717.5603,8,1,"Update",0.430500001
717.564,8,1,"Fixed Update",0.0151000004
717.5666,8,1,"Spline Update",0.00120000006
717.5695,8,1,"Compose",0.694999993
717.5743,8,1,"Update Buffers (CPU)",0.31310001
718.6788,9,1,"RenderPath3D Update",0.4068
718.6929,9,1,"Application Update",0.5492
719.5924,9,1,"Application Render",0.8952
720.3564,9,1,"Application Compose",0.7081
724.7773,9,1,"SubmitCommandLists",4.3755
724.9072,9,1,"Shadowmap packing",0.000300000014
724.9161,9,1,"Render",0.893400013
724.921,9,1,"Procedural Animations",0.00630000001
724.9262,9,1,"Script Components",0.000699999975
724.9337,9,1,"CPU Frame",2.9691
724.9391,9,1,"Input",0.517099977
724.9459,9,1,"GUI Update",0.0997999981
724.9523,9,1,"Frustum Culling",0.0555000007
724.9562,9,1,"Animations",9.99999975e-05
724.9613,9,1,"Spring Dependencies",0.00139999995
724.966,9,1,"GUI Render",0.134200007
724.9692,9,1,"Physics",0.00200000009
724.9715,9,1,"Update",0.548099995
724.9755,9,1,"Fixed Update",0.000699999975
724.9781,9,1,"Spline Update",0.00200000009
724.9809,9,1,"Compose",0.707499981
724.984,9,1,"Update Buffers (CPU)",0.245700002
725.793,10,1,"RenderPath3D Update",0.3777
725.8111,10,1,"Application Update",0.472
727.0355,10,1,"Application Render",1.219
727.8907,10,1,"Application Compose",0.7731
730.5751,10,1,"SubmitCommandLists",2.6447
730.8718,10,1,"Shadowmap packing",0.000500000024
730.8861,10,1,"Render",1.21829998
730.893,10,1,"Procedural Animations",0.00380000006
730.8991,10,1,"Script Components",0.00100000005
730.9094,10,1,"CPU Frame",3.08579993
730.9152,10,1,"Input",0.284200013
730.9253,10,1,"GUI Update",0.0846000016
730.9299,10,1,"Frustum Culling",0.0758000016
730.9365,10,1,"Animations",9.99999975e-05
730.9447,10,1,"Spring Dependencies",0.00109999999
730.9512,10,1,"GUI Render",0.117200002
730.9568,10,1,"Physics",0.0197000001
731.5962,10,1,"Update",0.471799999
731.6029,10,1,"Fixed Update",0.0203000009
731.6084,10,1,"Spline Update",0.00240000011
731.6134,10,1,"Compose",0.772199988
