"round","run_position","mode","pattern","managed_percent","p50_ms","p95_ms","p99_ms","managed_usage_average","managed_usage_peak","late_residency","compulsory_misses","predictable_misses","bytes_evicted","reloads"
"1","21","auto","stream","85","0.7814","1.1337","1.3992","33984348","37748736","8","8","0","31457280","15"
,,,,,,,,,,,,,,
"1","22","auto","stream","75","0.7904","1.1118","1.2321","29793539","33554432","11","11","0","41943040","20"
,,,,,,,,,,,,,,
"1","23","auto","stream","65","0.7846","1.1474","1.4592","25812445","29360128","12","12","0","48234496","23"
,,,,,,,,,,,,,,
"1","24","auto","stream","55","0.7889","1.1065","1.3463","21728242","25165824","14","14","0","56623104","27"
,,,,,,,,,,,,,,
"1","25","auto","stream","45","0.7937","1.1646","1.4522","17640543","20971520","16","16","0","65011712","31"
,,,,,,,,,,,,,,
"1","26","arc","stream","100","0.7846","1.107","1.435","0","0","0","0","0","85983232","41"
,,,,,,,,,,,,,,
"1","27","baseline","stream","100","0.783","1.1242","1.2851","0","0","0","0","0","0","0"
