"round","run_position","mode","pattern","managed_percent","p50_ms","p95_ms","p99_ms","managed_usage_average","managed_usage_peak","late_residency","compulsory_misses","predictable_misses","bytes_evicted","reloads"
"1","21","auto","stream","85","0.762","0.8492","0.946","33984348","37748736","8","8","0","31457280","15"
,,,,,,,,,,,,,,
"1","22","auto","stream","75","0.7867","1.0278","1.6005","29793539","33554432","11","11","0","41943040","20"
,,,,,,,,,,,,,,
"1","23","auto","stream","65","0.7972","1.4731","2.2388","25812445","29360128","12","12","0","48234496","23"
,,,,,,,,,,,,,,
"1","24","auto","stream","55","0.7941","1.2335","2.0656","21728242","25165824","14","14","0","56623104","27"
,,,,,,,,,,,,,,
"1","25","auto","stream","45","0.7885","0.9158","1.0896","17640543","20971520","16","16","0","65011712","31"
,,,,,,,,,,,,,,
"1","26","arc","stream","100","0.7792","0.8953","0.961","0","0","0","0","0","85983232","41"
,,,,,,,,,,,,,,
"1","27","baseline","stream","100","0.7932","1.2259","1.591","0","0","0","0","0","0","0"
